tradeItemId,tradeItemName
3e0a8438-5acb-411c-8e5d-4b11f5e82e6e,Belalinda Cerise 70cm
e9d5ded1-a3b7-4707-b367-cae76d6915d2,Cheyenne 50
b0f0cf05-7e7a-46ff-8c19-c519783b335e,Rosa large flowered Charlize 70cm
330bfdc9-2b87-483c-81ec-17120de11177,Rosa large flowered Wham 60cm
19b3d81d-3199-447b-9753-be0d69b08e9f,Ice Flow 50
8b640736-77b4-4439-9cd0-fe2c1b5b366c,Rosa Copacabana 70cm
680c86d9-84a6-46bb-9c28-10a691e827df,Documentation Fee
4319973a-4b7d-4deb-8b0d-fa5b7b09eaef,Gypsophila Xlence 60/15
880567dd-19ae-4d61-bfa0-7901902da725,Rosa spray Dominica 60cm
7c1cdb10-1496-4692-b9d0-a791a0d69617,Rosa Pink Ice 50cm
9347ba34-c0bd-42ee-82e3-9dcf3118c024,Eyeliner 60
9239de35-8c81-4ac2-a0ba-f1553ac87d73,Rosa Moonwalk 50cm
4c0aacd4-c3c3-42ea-a0ad-147d6b118282,Rosa large flowered Silantoi 70cm
ba8ad67f-39ce-44df-9dc8-e31e6b66e0bb,Miss Bombastic 50
90565088-89b2-40d7-b613-32473dec6ba5,Rosa large flowered Tycoon 50cm
f1c839e4-7389-4905-9085-1f64d4618afd,Gypsophila Xlence 70/20
af4ae245-e65c-4377-a748-cadbc27b02c5,Rosa spray Red Trendsetter
74c283ff-3100-47af-98d5-5d5655ff93fc,Sweet Flow 60
696c6b9a-e228-4055-94a4-99c157437628,Snow Bubble - Length 70
293125ea-633c-4478-b21a-370e97e66bb7,Rosa spray Sancerre
e07fc395-1c4a-43b2-9dae-ad9afb88cf77,Rosa large flowered Brooke 60cm
aa2918c7-da63-4f49-b830-ca56bca03e3c,Rosa large flowered Yelloween 60cm
82ec06be-d001-46dd-89f8-4c4070c6f8cd,Rosa Nightingale 40cm
36314404-2afc-4dac-98a9-24e2cc74b7a0,Rosa Athena 60cm
6d9e27d7-75b9-46d0-8d4a-b08d5cbcf321,Smashing 60
e53259cf-aea6-49cb-8b6a-10bb500ac628,Lady Bombastic 60
8ef8754e-a588-4941-9ff9-79aa08d2c15f,Salinero
56869b44-9151-48d7-ad1c-58d7c81bf2cf,Rosa large flowered Desert Rose 70cm
66897e49-255f-4878-ab1c-0b1e18f612e9,Rosa Nightingale 50cm
968d7895-038d-4a1f-8e02-15b58b8555b3,Silver Shadow 50
869d5acf-a6ed-4cc1-8be7-90925c475f9e,Rosa large flowered NovaVita 50cm
5fda09ca-e9c2-4c21-b496-4c7010ba1b34,Rosa Madam Red 60cm
92a2aada-1b46-4fcd-96f3-6381839eb46c,Royal Porcelina 50
52293c49-e6e6-4331-ad9e-d8bfe1ef7616,Rosa large flowered Espana 60cm
352e8feb-a88f-4701-95a7-ef6ee84e2880,Summer Dance 50
a7d194e2-f781-4874-9188-d70be034c35b,Alstroemeria Lady Marmalade 60cm
eaf7730a-2e60-4334-aa98-109bd2c6a91f,Rosa Furiosa 50cm
2b3a4512-556d-4e1e-995b-c90f92e38ec0,Lepidium Green Dragon L50
74b6a45f-dcba-4e19-83fb-04f469914572,Rosa large flowered Tycoon 70
11c39ad8-2b48-4d44-858d-bab2cec8266b,Rosa Upper Class 40cm
7655d492-463c-4c28-b9f6-4b34ece4120e,Rosa large flowered Espana 70cm
00cff5fa-8ecb-4b42-8624-16495b7cae41,Sweet Sarah 50
0b6770d5-3699-43b0-8ae8-7bedeb5eddab,Rosa large flowered Pegasso 70cm
a441505d-1a6d-44a3-a189-21ed36e17ddc,Rosa large flowered Ever Red 50cm
69de0333-dade-4e27-b587-c4584b1b8f57,Rosa Aqua! 50cm
32abddd8-9aa0-4fa6-9b7b-7fb6cd8a480b,Rosa spray Alicia 50cm
04e4acb8-4db0-4a1a-9bca-a52dbc4b3f28,Rosa large flowered mixed- Length 60
060883f5-c1fd-4c66-a086-b7d1591a23db,Classic Sensation 50
a5b025d5-4f02-4427-83e1-2cec4066082f,Leather Fern 60cm
25367ee8-428d-4a66-bc69-b7011fefb61f,Green Glow - Length 70
b95d7805-5faa-46ef-b598-200d6797794e,Wedding Party - Length 70
c8afbc5e-b522-48c2-8d73-d5e7b07b9642,Rosa Mixed in box 60cm
1707eef7-b989-438c-8031-eb3040153166,Rosa spray Bombastic
ca1abd47-d135-4b29-8b63-8128d3a6f3d0,Rosa large flowered Snowstorm+ 70cm
d7832d2c-6980-45de-910c-a621bd9d1ded,Azore - Length 70
0fd67d9d-1d01-4774-8c94-163452942e61,Rosa large flowered Silantoi 60cm
